Date,Open,High,Low,Close,Adj Close,Volume
1998-02-01,28.250000,31.375000,28.250000,30.906250,21.859713,11586000
1998-03-01,31.093750,35.187500,29.437500,34.031250,24.069998,13967800
1998-04-01,34.062500,37.156250,33.593750,35.750000,25.375978,13420600
1998-05-01,35.875000,36.187500,33.187500,34.468750,24.466505,9556200
1998-06-01,34.468750,35.312500,32.281250,34.750000,24.666151,8900600
1998-07-01,34.781250,36.593750,33.375000,34.718750,24.736174,13939200
1998-08-01,34.593750,35.187500,26.000000,26.031250,18.546558,23373600
1998-09-01,25.937500,29.781250,24.250000,27.281250,19.437149,32198400
1998-10-01,27.281250,32.500000,23.937500,31.187500,22.321741,23305200
1998-11-01,31.312500,35.312500,30.750000,34.312500,24.558380,14782000
1998-12-01,34.437500,36.437500,32.718750,35.062500,25.095194,17508000
1999-01-01,35.187500,37.500000,33.500000,35.750000,25.688194,18203400
1999-02-01,35.656250,39.250000,33.750000,38.343750,27.551933,16137600
1999-03-01,38.218750,44.875000,38.062500,41.125000,29.550400,18046200
1999-04-01,41.250000,47.625000,41.125000,43.750000,31.544060,21849800
1999-05-01,43.687500,44.343750,37.281250,38.125000,27.488405,20817600
1999-06-01,37.750000,42.812500,37.031250,42.687500,30.777981,16005400
1999-07-01,42.562500,43.781250,35.375000,35.437500,25.643661,36972800
1999-08-01,35.125000,36.000000,29.625000,29.937500,21.663691,21970600
1999-09-01,30.187500,32.625000,27.750000,32.312500,23.382315,27984400
1999-10-01,32.312500,39.000000,29.312500,38.062500,27.673294,20788000
1999-11-01,37.937500,39.218750,35.187500,36.718750,26.696310,14559800
1999-12-01,36.125000,37.500000,33.531250,36.531250,26.559990,18278800
2000-01-01,36.500000,41.375000,32.562500,40.093750,29.278460,24908400
2000-02-01,40.000000,42.218750,35.500000,36.437500,26.608482,20330400
2000-03-01,36.312500,50.750000,31.218750,48.437500,35.371483,41390600
2000-04-01,48.625000,54.312500,42.593750,48.437500,35.488857,31162000
2000-05-01,48.062500,61.500000,47.656250,55.750000,40.846539,43799200
2000-06-01,55.625000,57.468750,49.500000,53.031250,38.854568,32834400
2000-07-01,52.625000,58.968750,49.687500,50.187500,36.888222,30065200
2000-08-01,50.312500,60.125000,50.000000,58.875000,43.273579,18598400
2000-09-01,59.625000,67.250000,57.500000,65.050003,47.812279,20763400
